Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Frequently,625,Human Resources,6,1,Other,1,61,3,Male,75,1,4,Laboratory Technician,3.0,Single,5180.0,23788,3,Y,No,16,3,3,80,0,20,4,3,28,18,13,1
43,No,Travel_Rarely,714,Research & Development,3,5,Marketing,1,62,3,Male,59,4,5,Laboratory Technician,3.0,Divorced,14076.0,18204,2,Y,Yes,14,4,4,80,2,31,1,4,40,3,9,13
51,No,Travel_Rarely,1281,Sales,24,1,Life Sciences,1,63,3,Male,45,4,1,Research Scientist,3.0,Single,4704.0,4142,4,Y,No,15,3,4,80,2,29,3,4,3,5,1,9
27,No,Travel_Rarely,1465,Research & Development,11,4,Life Sciences,1,64,1,Male,34,2,1,Research Director,4.0,Single,10121.0,24447,4,Y,Yes,20,3,1,80,1,32,6,4,39,14,15,15
53,No,Travel_Frequently,226,Research & Development,15,3,Other,1,65,2,Female,96,3,3,Research Director,1.0,Divorced,8251.0,2987,3,Y,No,17,3,3,80,1,5,4,1,39,3,5,2
31,No,Travel_Rarely,972,Sales,13,1,Other,1,66,2,Female,52,1,5,Research Director,3.0,Single,10950.0,15137,6,Y,No,23,3,2,80,1,4,6,2,23,5,6,7
48,No,Travel_Frequently,381,Research & Development,20,1,Other,1,67,4,Female,90,1,2,Research Scientist,1.0,Married,3709.0,13886,7,Y,No,16,3,1,80,3,14,0,4,5,1,10,16
32,No,Travel_Frequently,1018,Research & Development,28,5,Other,1,68,1,Female,34,3,1,Human Resources,3.0,Single,18398.0,15707,4,Y,No,11,3,1,80,0,24,4,4,39,3,1,3
25,No,Travel_Rarely,723,Research & Development,10,5,Life Sciences,1,69,4,Male,52,2,3,Sales Representative,4.0,Single,19094.0,16410,8,Y,Yes,19,4,4,80,0,12,4,2,5,17,9,14
31,Yes,Travel_Frequently,947,Research & Development,6,1,Marketing,1,70,3,Female,54,4,1,Healthcare Representative,1.0,Married,14348.0,8181,6,Y,No,16,3,3,80,0,5,2,2,13,14,7,9
40,Yes,Travel_Frequently,775,Research & Development,15,1,Medical,1,71,4,Male,37,4,1,Sales Representative,4.0,Divorced,16843.0,5027,6,Y,Yes,16,3,1,80,3,36,0,3,13,11,4,9
57,No,Travel_Rarely,1253,Research & Development,25,5,Life Sciences,1,72,3,Male,50,2,1,Research Director,2.0,Single,12093.0,20759,7,Y,No,19,4,3,80,0,1,0,2,34,7,10,11
38,No,Travel_Rarely,415,Sales,18,4,Medical,1,73,3,Male,31,2,3,Human Resources,3.0,Married,4171.0,10358,3,Y,No,22,3,4,80,1,16,6,2,5,11,7,8
33,No,Non-Travel,433,Research & Development,18,2,Medical,1,74,2,Male,51,3,3,Research Scientist,2.0,Single,9315.0,3474,9,Y,No,20,3,1,80,0,23,1,1,22,8,14,14
35,No,Travel_Rarely,1275,Research & Development,7,2,Technical Degree,1,75,2,Female,97,3,4,Manager,2.0,Single,14146.0,18961,5,Y,Yes,15,3,1,80,3,11,6,3,19,6,2,17
41,No,Travel_Frequently,137,Sales,15,1,Other,1,76,2,Male,93,4,4,Human Resources,2.0,Divorced,3146.0,11315,4,Y,Yes,21,4,2,80,3,13,2,1,16,7,1,0
43,No,Non-Travel,1147,Sales,18,5,Life Sciences,1,77,2,Male,48,2,4,Manager,3.0,Single,17423.0,14067,0,Y,Yes,16,3,4,80,0,6,0,2,19,9,6,2
42,No,Travel_Rarely,307,Sales,18,3,Other,1,78,2,Male,82,2,1,Research Scientist,4.0,Divorced,6957.0,15258,8,Y,Yes,16,3,2,80,3,25,2,4,5,10,4,7
58,Yes,Travel_Rarely,740,Human Resources,20,3,Other,1,79,1,Male,81,4,5,Sales Executive,2.0,Single,15702.0,22257,1,Y,Yes,17,3,4,80,3,31,2,3,39,1,4,6
46,No,Travel_Rarely,949,Sales,9,2,Marketing,1,80,2,Male,76,4,3,Laboratory Technician,1.0,Divorced,17108.0,8195,5,Y,No,19,4,2,80,0,28,3,2,27,3,12,14
32,No,Travel_Rarely,1481,Sales,24,4,Life Sciences,1,81,4,Female,83,4,4,Healthcare Representative,3.0,Married,17219.0,7048,7,Y,No,15,4,4,80,3,38,6,2,12,8,7,7
18,No,Travel_Rarely,541,Research & Development,2,2,Technical Degree,1,82,3,Male,73,4,5,Sales Representative,4.0,Divorced,19198.0,8047,2,Y,No,15,3,4,80,3,8,0,4,28,7,12,14
42,No,Travel_Rarely,830,Research & Development,8,1,Other,1,83,2,Female,36,4,4,Laboratory Technician,4.0,Single,4578.0,8374,4,Y,No,14,3,1,80,0,13,3,4,19,4,8,4
24,Yes,Travel_Rarely,1221,Sales,20,4,Technical Degree,1,84,1,Male,30,3,4,Human Resources,2.0,Married,13986.0,2872,6,Y,No,20,3,2,80,1,16,6,4,16,13,14,11
26,Yes,Travel_Frequently,1042,Human Resources,2,3,Life Sciences,1,85,4,Male,92,4,5,Manufacturing Director,3.0,Married,12629.0,5569,3,Y,No,14,3,2,80,1,24,4,3,34,1,15,11
41,No,Travel_Frequently,265,Research & Development,11,5,Marketing,1,86,4,Female,68,2,4,Research Scientist,2.0,Married,1465.0,6817,4,Y,No,22,3,2,80,3,29,6,1,38,16,13,8
18,No,Travel_Rarely,249,Research & Development,26,5,Technical Degree,1,87,3,Female,48,1,1,Laboratory Technician,1.0,Divorced,17841.0,16984,0,Y,No,18,3,1,80,2,28,4,3,36,7,7,8
25,Yes,Travel_Rarely,395,Research & Development,7,1,Technical Degree,1,88,4,Male,60,3,1,Healthcare Representative,4.0,Married,1076.0,25364,3,Y,No,23,3,3,80,2,28,3,4,22,1,15,14
41,No,Travel_Rarely,296,Sales,6,2,Life Sciences,1,89,4,Female,53,2,1,Laboratory Technician,4.0,Divorced,2871.0,8807,6,Y,No,12,3,4,80,0,17,4,3,17,14,9,14
28,No,Travel_Rarely,764,Research & Development,10,1,Life Sciences,1,90,4,Female,98,1,2,Healthcare Representative,3.0,Married,19195.0,10695,9,Y,No,20,3,2,80,0,30,3,4,35,1,1,11
34,No,Non-Travel,581,Research & Development,5,5,Medical,1,91,4,Female,94,3,4,Manufacturing Director,4.0,Married,13763.0,19537,6,Y,No,18,3,4,80,1,18,6,1,19,10,9,4
25,No,Travel_Frequently,224,Sales,11,3,Life Sciences,1,92,1,Female,62,4,2,Laboratory Technician,3.0,Divorced,12632.0,24851,9,Y,No,12,3,1,80,2,16,1,3,6,13,10,0
52,No,Travel_Rarely,800,Sales,1,5,Life Sciences,1,93,3,Female,88,3,3,Manager,2.0,Single,8563.0,25872,9,Y,No,11,3,4,80,0,5,2,1,35,9,6,10
52,No,Non-Travel,1066,Research & Development,2,4,Life Sciences,1,94,2,Male,62,4,5,Research Director,1.0,Married,9328.0,20787,3,Y,No,20,3,1,80,2,11,1,1,0,6,10,17
50,No,Travel_Rarely,762,Sales,24,5,Other,1,95,4,Female,61,4,3,Manufacturing Director,3.0,Divorced,6904.0,20078,5,Y,No,23,3,3,80,2,37,0,4,36,13,4,5
22,Yes,Travel_Frequently,1229,Human Resources,1,5,Other,1,96,1,Male,88,4,2,Human Resources,2.0,Married,14029.0,14829,4,Y,No,19,3,2,80,3,2,1,3,34,12,13,16
59,No,Travel_Rarely,811,Sales,19,4,Life Sciences,1,97,3,Female,70,1,1,Manager,1.0,Single,13211.0,20711,0,Y,No,21,4,1,80,3,34,1,3,40,1,6,13
56,No,Non-Travel,497,Research & Development,2,2,Life Sciences,1,98,2,Male,41,3,4,Healthcare Representative,4.0,Married,6524.0,25831,7,Y,No,18,3,4,80,2,32,4,1,2,9,2,11
58,Yes,Travel_Rarely,1013,Research & Development,21,5,Other,1,99,3,Male,40,4,4,Laboratory Technician,1.0,Divorced,1376.0,11583,6,Y,No,16,4,1,80,1,28,5,4,34,0,3,4
45,No,Travel_Frequently,1462,Research & Development,20,1,Medical,1,100,1,Male,48,2,1,Healthcare Representative,1.0,Divorced,16649.0,16068,4,Y,No,14,3,1,80,0,2,6,1,28,0,6,6
24,No,Travel_Frequently,1106,Research & Development,29,5,Life Sciences,1,101,1,Male,83,3,4,Healthcare Representative,1.0,Divorced,16470.0,18829,9,Y,Yes,12,3,3,80,0,4,5,1,8,2,1,15
26,No,Travel_Rarely,1267,Research & Development,23,1,Life Sciences,1,102,1,Male,86,2,5,Manufacturing Director,4.0,Married,15906.0,15818,9,Y,No,18,3,2,80,1,13,3,1,36,10,1,8
25,No,Travel_Rarely,418,Research & Development,21,4,Marketing,1,103,4,Male,71,1,5,Manager,3.0,Married,,13508,6,Y,No,13,3,1,80,3,35,0,1,24,18,0,14
29,No,Travel_Frequently,782,Research & Development,24,5,Human Resources,1,104,1,Female,60,1,5,Laboratory Technician,3.0,Single,9303.0,12717,9,Y,No,20,3,1,80,3,27,5,3,11,8,0,3
51,No,Travel_Rarely,1435,Research & Development,4,4,Human Resources,1,105,2,Female,81,3,3,Sales Executive,1.0,Single,5516.0,17489,2,Y,No,14,3,4,80,1,40,4,2,37,12,11,6
50,No,Travel_Rarely,596,Research & Development,12,4,Marketing,1,106,4,Male,31,1,1,Sales Representative,2.0,Single,18178.0,8563,7,Y,No,15,4,1,80,1,31,0,3,6,3,0,13
40,No,Travel_Rarely,657,Research & Development,22,2,Life Sciences,1,107,3,Female,67,1,5,Sales Representative,2.0,Single,15761.0,12799,4,Y,No,23,3,1,80,3,17,2,4,6,5,5,3
41,No,Travel_Rarely,711,Research & Development,20,5,Medical,1,108,2,Male,61,3,2,Manufacturing Director,1.0,Divorced,,5260,1,Y,No,14,3,2,80,2,39,3,2,3,1,12,3
54,No,Travel_Frequently,210,Human Resources,18,1,Other,1,109,4,Male,39,2,5,Human Resources,1.0,Divorced,13146.0,23731,1,Y,No,21,3,2,80,3,12,4,1,30,8,4,13
52,No,Travel_Rarely,473,Sales,1,1,Medical,1,110,1,Female,37,4,3,Research Scientist,2.0,Married,15343.0,4303,3,Y,No,18,3,4,80,2,1,1,3,38,17,14,6
57,No,Travel_Rarely,956,Research & Development,1,5,Life Sciences,1,111,3,Female,49,3,2,Sales Executive,1.0,Divorced,19839.0,10841,6,Y,No,19,3,1,80,0,24,6,2,9,3,9,14
39,No,Travel_Rarely,717,Research & Development,24,2,Medical,1,112,1,Male,49,3,1,Laboratory Technician,1.0,Divorced,16123.0,2393,9,Y,No,24,3,1,80,0,19,2,1,22,0,7,11
44,No,Travel_Rarely,869,Research & Development,14,2,Other,1,113,2,Male,38,4,1,Sales Representative,3.0,Married,17044.0,22344,3,Y,No,24,3,1,80,2,6,1,3,25,0,4,13
52,No,Travel_Rarely,307,Research & Development,4,2,Life Sciences,1,114,2,Male,44,2,5,Human Resources,3.0,Married,19758.0,15645,8,Y,Yes,24,3,3,80,2,10,5,2,22,16,0,12
18,No,Travel_Rarely,948,Human Resources,5,1,Medical,1,115,4,Male,92,4,2,Research Scientist,1.0,Single,5710.0,2657,1,Y,Yes,11,3,3,80,3,4,6,3,28,18,11,11
52,Yes,Travel_Rarely,144,Research & Development,11,4,Life Sciences,1,116,2,Male,50,4,2,Manager,1.0,Married,8426.0,14295,5,Y,No,12,3,4,80,1,28,0,2,7,2,7,15
54,No,Travel_Rarely,966,Sales,24,2,Life Sciences,1,117,3,Female,34,2,5,Laboratory Technician,4.0,Single,10567.0,23366,3,Y,No,22,3,3,80,2,17,2,4,18,16,5,15
31,Yes,Travel_Frequently,1370,Sales,28,1,Life Sciences,1,118,4,Female,64,2,5,Healthcare Representative,3.0,Married,12066.0,11308,5,Y,No,14,4,4,80,0,7,6,3,28,2,7,0
20,Yes,Travel_Rarely,1412,Research & Development,23,1,Life Sciences,1,119,3,Female,97,4,4,Human Resources,1.0,Divorced,10223.0,19668,9,Y,No,11,3,1,80,3,26,6,3,5,3,12,14
18,No,Travel_Rarely,1480,Research & Development,13,4,Life Sciences,1,120,1,Male,77,4,4,Laboratory Technician,4.0,Married,12331.0,21688,8,Y,No,21,3,3,80,0,1,4,2,28,12,1,4
22,No,Travel_Rarely,886,Sales,16,5,Marketing,1,121,3,Female,91,3,5,Sales Executive,4.0,Single,16895.0,12190,9,Y,No,16,3,2,80,3,34,1,4,23,14,9,5
43,Yes,Travel_Rarely,577,Sales,24,5,Other,1,122,3,Male,64,2,3,Healthcare Representative,4.0,Married,12045.0,24856,8,Y,No,22,3,3,80,1,25,5,3,9,11,7,16
31,No,Travel_Rarely,184,Sales,13,2,Other,1,123,2,Male,99,1,4,Sales Executive,4.0,Married,15069.0,12322,8,Y,No,15,3,1,80,1,22,1,4,13,2,5,10
56,No,Travel_Rarely,1235,Research & Development,24,2,Life Sciences,1,124,1,Male,50,2,5,Research Director,3.0,Single,18882.0,11312,8,Y,No,23,3,2,80,0,4,0,4,5,7,0,3
44,No,Travel_Frequently,291,Research & Development,22,4,Medical,1,125,2,Female,68,4,2,Sales Representative,4.0,Single,14616.0,26925,2,Y,No,17,3,4,80,2,15,0,3,3,0,12,17
26,No,Travel_Rarely,901,Research & Development,26,2,Medical,1,126,1,Female,63,4,4,Research Scientist,3.0,Divorced,3343.0,20896,8,Y,Yes,22,3,1,80,2,10,5,1,14,17,0,13
32,No,Travel_Rarely,1037,Research & Development,2,4,Medical,1,127,1,Male,44,4,3,Human Resources,4.0,Single,17105.0,16707,2,Y,No,16,3,2,80,0,18,3,2,36,12,9,8
32,No,Travel_Frequently,352,Research & Development,16,1,Medical,1,128,3,Male,35,4,1,Healthcare Representative,4.0,Divorced,1211.0,21041,9,Y,No,24,3,3,80,2,15,5,3,38,6,11,2
43,Yes,Travel_Rarely,392,Research & Development,6,2,Marketing,1,129,2,Male,95,1,2,Sales Representative,2.0,Married,1239.0,21429,2,Y,No,24,3,4,80,2,31,3,4,27,12,4,2
59,No,Travel_Rarely,1326,Research & Development,14,1,Marketing,1,130,3,Female,85,2,3,Manufacturing Director,3.0,Married,12329.0,16187,4,Y,No,13,3,3,80,0,11,5,2,1,16,6,10
30,No,Travel_Rarely,427,Sales,1,3,Medical,1,131,3,Male,78,1,3,Sales Executive,2.0,Single,12692.0,25861,5,Y,No,15,3,2,80,0,1,5,3,12,12,3,4
49,No,Travel_Rarely,938,Research & Development,17,4,Life Sciences,1,132,3,Male,30,1,3,Research Director,2.0,Married,3971.0,18747,8,Y,Yes,13,3,2,80,1,21,0,2,1,12,13,3
56,No,Travel_Frequently,609,Research & Development,11,3,Medical,1,133,1,Female,94,4,2,Sales Executive,4.0,Divorced,3336.0,8713,0,Y,No,19,3,1,80,0,25,3,2,40,10,12,11
49,No,Travel_Frequently,832,Human Resources,19,2,Other,1,134,2,Male,57,1,3,Laboratory Technician,3.0,Single,3793.0,24125,7,Y,No,12,4,4,80,1,32,5,4,31,13,9,11
21,No,Non-Travel,173,Sales,3,1,Medical,1,135,2,Male,49,4,1,Manager,1.0,Single,14494.0,11213,3,Y,No,16,3,4,80,1,23,6,1,4,9,4,3
